"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val-de-Loire","Grand-Est","Hauts-de-France","Île-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays-de-la-Loire","Provence-Alpes-Côte-d-Azur"
"Jan",1.025,1.55,18.725,2.975,2.925,10.775,2.5,15.725,6.775,7.5,8.425,13.95
"Feb",1.55,1.125,15.225,2.325,2.125,7.75,1.725,12.475,5.625,7,6.35,12.4
"Mar",2.075,0.9,13.675,1.95,1.75,6.775,1.35,11.1,5.025,6.525,5.875,12.625
"Apr",1.55,0.275,11,0.625,0.575,3.45,0.575,7.275,3.1,5.975,3.925,10.225
"May",0.925,0.1,7.6,0.325,0.25,2.85,0.2,5.425,1.725,3.6,2.9,7.325
"Jun",0.675,0.175,5.125,0.275,0.275,1.575,0.15,3.475,1.425,2.3,1.825,5.4
"Jul",0.45,0.05,4.3,0.15,0.05,1.975,0.125,3.65,0.75,1.8,1.2,5.575
"Aug",0.275,0.025,4.55,0.125,0.075,2.05,0.075,4.175,0.675,1.45,1.2,4.6
"Sep",0.55,0.2,8.025,0.55,0.3,4,0.3,6.9,1.875,2.8,2.3,7.025
"Oct",0.775,0.7,13.575,1.2,1.025,6.425,1,11.8,3.7,4.725,5.775,10.425
"Nov",1.2,0.725,16.05,1.775,1.025,7.95,1.275,12.825,5.325,6.85,6.825,13.075
"Dec",1.275,1.425,18.25,2.575,2.15,9.9,1.9,15.025,6.75,7.2,8.475,13.8
